Review count,Rating,Price Score(1-3),Latitude,Longitude
2755,4.5,2,37.80678,-122.41756
582,4.5,2,37.77583055001725,-122.4226361
514,4.5,2,37.6550735,-122.4103483
3978,4.5,2,37.78511637816802,-122.4320083486284
309,4.0,2,37.782407,-122.479713
565,4.5,2,37.76872324000296,-122.42928109103332
516,4.5,2,37.7666182758937,-122.430262778253
4997,4.0,2,37.97191154325648,-122.52428381165647
294,4.0,2,37.770655,-122.425312
11662,4.0,2,37.7829016035273,-122.419043442957
1936,4.5,1,37.753182446703,-122.505007542328
1896,4.0,2,37.7423,-122.48701
1325,5.0,2,37.62957,-122.41554
3296,4.0,2,37.7601928839328,-122.4114188698492
330,4.5,2,37.755952,-122.421328
763,4.5,2,37.760662161462,-122.388421141818
377,4.5,2,37.789884,-122.412317
946,4.0,1,37.764452,-122.431978
1625,4.0,2,37.7861574638014,-122.430057115853
2260,4.5,2,37.762463,-122.396712
170,5.0,2,37.759907,-122.421268
206,4.5,2,37.771917,-122.430753
32,5.0,2,37.78180582215728,-122.416181
1571,4.0,2,37.7579585099187,-122.388854026794
7562,4.0,2,37.76378306790313,-122.46900735179602
358,4.5,2,37.794597,-122.404432
5211,4.0,1,37.75265,-122.41812
1970,4.0,2,37.800591,-122.438832
2079,4.0,2,37.76402,-122.43253
92,5.0,2,37.79767721513589,-122.4075332
50,5.0,2,37.77616,-122.40833
127,4.0,1,37.7663780003786,-122.39863269031
1515,4.5,2,37.79852,-122.40739
116,5.0,2,37.71467,-122.4423
1496,4.0,2,37.78566225574775,-122.4042726198749
196,4.5,3,37.7694943,-122.402886
857,4.5,2,37.6868567,-122.4695859
64,4.5,2,37.77139,-122.43014
4337,4.5,2,37.785735681426,-122.43507770852
892,4.0,2,37.7687639,-122.42927591406595
3789,4.0,2,37.7642907777954,-122.43072410226956
164,4.5,2,37.79098,-122.40384
430,4.5,2,37.78039,-122.40375
8027,4.5,2,37.80898821475503,-122.41029651587516
1417,4.5,3,37.78601,-122.42858
1115,4.5,2,37.7878344,-122.4131853
279,4.5,2,37.75472,-122.4212
1436,5.0,2,37.7873184067081,-122.423591369312
1196,4.0,2,37.78501,-122.431741
208,4.5,2,37.78788,-122.41306
3511,4.5,1,37.7831519576568,-122.417318022037
1791,4.0,2,37.765051,-122.42246
864,4.0,2,37.7997609,-122.4085676
3128,4.0,1,37.7954584839809,-122.408358365012
1752,4.5,2,37.801752,-122.411851
446,4.5,2,37.832094781567775,-122.2630403
1297,4.0,2,37.7875137329102,-122.398719787598
40,4.5,2,37.6229,-122.41156
221,4.5,2,37.77826,-122.39388
1433,4.0,2,37.79990506085279,-122.4371697
146,4.5,2,37.79820548128758,-122.40491142651727
4508,4.5,2,37.79979,-122.40834
384,4.5,2,37.763082,-122.424349
