name,latitude,longitude,stars_business
Saad's Halal Restaurant,39.9549627,-75.2118511,4.5
Mood Cafe,39.9486639126,-75.2158315415,4.5
48th Street Grille,39.9531368,-75.2186607,4.5
Cucina Zapata,39.9542886,-75.1855377,4.5
Fu-Wah Mini Market,39.9482921,-75.2170137,4.5
Dottie's Donuts,39.9483447,-75.2136558,4.5
Tacos Don Memo,39.951988,-75.199123,4.5
Lee's Deli,39.9484414,-75.2171163,4.5
White Dog Cafe,39.9535582,-75.1929054,4.0
Sabrina's Café,39.9598792,-75.1906815,4.0
Han Dynasty,39.9567105161,-75.1971027811,4.0
Manakeesh Cafe Bakery & Grill,39.9549844,-75.2115232,4.0
Honest Tom's Plant Based Taco Shop,39.9532203,-75.2102519,4.0
Dock Street Brewery,39.9477306374,-75.2227761947,4.0
New Delhi Indian Restaurant,39.9553921,-75.2026195,4.0
Dim Sum House,39.9557715,-75.2016544,4.0
Aksum Cafe,39.9485474,-75.2163663,4.0
Sitar India,39.9556956061,-75.1985801108,4.0
Hummus Grill,39.954349,-75.2021586,4.0
Vietnam Cafe,39.9481782,-75.2168865,4.0
World Cafe Live,39.9520744759,-75.1851766256,4.0
Legal Sea Foods,39.876009,-75.242965,4.0
Federal Donuts,39.9535536,-75.1931768,4.0
Jim's Steaks,39.9692157,-75.2430863,4.0
HipCityVeg - University City,39.953549,-75.202991,4.0
Zavino,39.9536479551,-75.1891877265,4.0
Vientiane Café,39.9483087,-75.2178905,4.0
Cedar Park Cafe,39.94796,-75.22198,4.0
The Fat Ham,39.9524388,-75.1873387,4.0
Marigold Kitchen,39.9501204,-75.2124323,4.0
Louie Louie,39.9532791038,-75.1955875611,4.0
Koch's Deli,39.953956271,-75.2097241761,4.0
Kilimandjaro Restaurant,39.9567961,-75.208836,4.0
Capogiro Gelato,39.9541715545,-75.2013800841,4.0
Desi Chaat House,39.9496418,-75.2069391,4.0
Chengdu Famous Food,39.9591840099,-75.1945733333,4.0
Kaffa Crossing,39.9568639964,-75.2104099153,4.0
Renata's Kitchen,39.9496602,-75.2026672,4.0
Distrito,39.9558813,-75.2020031,3.5
Pod,39.9539707735,-75.1960369886,3.5
Bobby's Burger Palace,39.954086811,-75.2009592271,3.5
City Tap House,39.9543092612,-75.2013524735,3.5
Local 44,39.952821,-75.210442,3.5
Baby Blues BBQ Philly,39.953630921,-75.1929846337,3.5
Greek Lady,39.9534811107,-75.2029253184,3.5
New Deck Tavern,39.9535171,-75.1926364399,3.5
Koreana,39.9556166133,-75.1989265346,3.5
Ramen Bar,39.9572977379,-75.1920437233,3.5
Pattaya,39.9529055,-75.204785,3.5
Kabobeesh,39.9564795,-75.2065288,3.5
